FCID,ABAM_COV,ABGRC_COV,ABPRSH_COV,ACMA3_COV,ALRH2_COV,ALRU2_COV,CADE27_COV,CHCH7_COV,CHLA_COV,LIDE3_COV,NOTALY_COV,PIBR_COV,PICO_COV,PIJE_COV,PILA_COV,PIPO_COV,PISI_COV,PSME_COV,QUCH2_COV,QUGA4_COV,QUKE_COV,TABR2_COV,THPL_COV,TSHE_COV,UMCA_COV
52686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
52687,0.0,13.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.7954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,12.0,0.0,0.0,0.0,0.0,0.0,0.0
52689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.2585,3.0,0.0,0.0,2.0,0.0,0.0,0.0
52690,0.0,6.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,0.0,0.0,0.0,3.0,0.0,20.0,0.0
52691,0.0,2.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.1199,30.0,0.0,0.0,0.0,0.0,0.0,0.0
52692,0.0,2.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,7.6884,1.0,0.0,0.0,58.1048,4.0,0.0,0.0,0.0,0.0,0.0,0.0
52693,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2372,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52694,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52695,0.0,1.0,0.0,0.0,0.0,0.0,16.473,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6884,0.0,0.0,36.2372,12.0,0.0,0.0,0.0,0.0,0.0,0.0
52696,0.0,1.0,0.0,0.0,0.0,0.0,5.8235,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40.5479,3.0,0.0,0.0,1.0,0.0,0.0,0.0
52697,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7633,0.0,0.0,0.0,1.0,0.0,4.0,0.0
52698,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7252,2.0,0.0,0.0,0.0,0.0,0.0,0.0
52699,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9554,0.0,40.5479,30.0,0.0,0.0,0.0,0.0,0.0,0.0
52700,0.0,0.0,0.0,0.0,0.0,0.0,19.7481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6069,5.8235,0.0,23.6621,28.0,0.0,0.0,0.0,0.0,0.0,0.0
52701,0.0,0.0,0.0,0.0,0.0,0.0,12.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.305,40.0,0.0,0.0,1.0,0.0,0.0,0.0
52702,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9211,0.0,0.0,45.1188,8.0,0.0,0.0,2.0,0.0,0.0,0.0
52703,0.0,0.0,0.0,0.0,0.0,0.0,10.4166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.8091,8.0,0.0,0.0,1.0,0.0,0.0,0.0
52704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0671,35.0,0.0,0.0,0.0,0.0,0.0,0.0
52705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.343,55.0,0.0,0.0,0.0,0.0,0.0,0.0
52706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6884,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2372,3.0,0.0,1.0,0.0,0.0,0.0,0.0
52707,0.0,0.0,0.0,0.0,0.0,0.0,9.5163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.1188,5.0,0.0,2.0,0.0,0.0,0.0,0.0
52708,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9292,0.0,42.305,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52709,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3415,0.0,0.0,5.0,0.0,0.0,0.0,0.0
52710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,25.9182,0.0,0.0,42.305,70.0,0.0,0.0,0.0,0.0,0.0,0.0
52711,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1199,10.0,0.0,0.0,0.0,0.0,0.0,0.0
52712,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,40.0,0.0,0.0,0.0,0.0,0.0,0.0
52713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,13.9292,5.8235,0.0,63.2121,10.0,0.0,0.0,0.0,0.0,0.0,0.0
52714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.1188,20.0,0.0,0.0,0.0,0.0,0.0,0.0
52715,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,10.0,0.0,0.0,0.0,0.0,0.0,0.0
52716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52717,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52720,0.0,42.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5312,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52722,0.0,39.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52723,0.0,45.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52724,0.0,32.968,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52725,0.0,50.3415,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52726,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1188,25.0,0.0,0.0,0.0,0.0,0.0,0.0
52728,0.0,45.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,63.2121,0.0,0.0,0.0,10.0,0.0,59.343,0.0
52729,0.0,25.9182,0.0,0.0,0.0,0.0,5.0,23.6621,0.0,0.0,0.0,0.0,0.0,0.0,18.9416,0.0,0.0,52.7633,0.0,0.0,0.0,0.0,0.0,25.0,0.0
52730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7129,2.0,0.0,0.0,0.0,0.0,0.0,0.0
52731,0.0,0.0,0.0,7.0,0.0,0.0,50.3415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2121,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52732,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7129,20.0,0.0,0.0,40.0,0.0,0.0,0.0
52733,0.0,0.0,0.0,0.0,0.0,0.0,5.8235,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,61.3259,25.0,0.0,0.0,0.0,0.0,0.0,0.0
52734,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7468,10.0,0.0,0.0,0.0,0.0,0.0,0.0
52735,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2056,65.0,0.0,0.0,0.0,0.0,0.0,0.0
52736,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3495,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52737,0.0,61.3259,0.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1188,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,45.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,45.1188,35.0,0.0,0.0,0.0,0.0,0.0,0.0
52739,0.0,0.0,0.0,0.0,0.0,0.0,22.1199,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7606,0.0,0.0,65.0062,5.0,0.0,0.0,5.0,0.0,0.0,0.0
52740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,45.0,0.0,0.0,0.0,0.0,9.5163,0.0,0.0,30.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
52741,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.8235,0.0,0.0,65.0062,4.0,0.0,0.0,0.0,0.0,0.0,0.0
52742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,10.4166,0.0,0.0,36.2372,30.0,0.0,0.0,0.0,0.0,0.0,0.0
52743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,51.3248,33.0,0.0,0.0,0.0,0.0,0.0,0.0
52744,0.0,1.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,59.343,5.0,0.0,0.0,5.0,0.0,0.0,0.0
52745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7856,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,74.076,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4166,0.0,0.0,45.1188,12.0,0.0,0.0,0.0,0.0,0.0,0.0
